YEAR,MO,DY,HR,T2M,RH2M,PS,WS10M,WD10M
2013,1,12,21,27.14,85.31,100.8,9.0,296.12
2013,1,12,22,27.04,85.75,100.77,9.08,298.17
2013,1,12,23,26.94,86.38,100.69,9.1,299.69
2013,1,13,0,26.9,86.44,100.6,8.97,300.41
2013,1,13,1,26.98,86.0,100.54,8.81,299.91
2013,1,13,2,27.05,85.81,100.51,8.67,299.25
2013,1,13,3,27.05,86.06,100.51,8.53,298.79
2013,1,13,4,27.05,86.31,100.53,8.23,299.02
2013,1,13,5,27.11,85.94,100.59,7.96,299.46
2013,1,13,6,27.23,85.69,100.65,7.9,299.89
2013,1,13,7,27.48,85.0,100.69,8.0,300.9
2013,1,13,8,27.65,84.19,100.69,8.24,301.63
2013,1,13,9,27.84,83.44,100.66,8.5,301.23
2013,1,13,10,28.01,82.69,100.62,8.72,299.83
2013,1,13,11,28.13,81.94,100.57,8.96,297.71
2013,1,13,12,28.1,82.19,100.51,9.26,296.61
2013,1,13,13,28.05,82.5,100.44,9.48,296.76
2013,1,13,14,27.87,83.31,100.4,9.56,298.62
2013,1,13,15,27.55,85.0,100.42,9.52,302.02
2013,1,13,16,27.3,86.62,100.48,9.71,304.24
2013,1,13,17,27.11,87.88,100.53,9.94,304.1
2013,1,13,18,26.95,88.75,100.57,9.81,302.04
2013,1,13,19,26.9,89.06,100.64,9.07,298.37
2013,1,13,20,26.86,89.44,100.68,8.07,296.94
2013,1,13,21,26.9,89.56,100.68,7.31,299.88
2013,1,13,22,26.95,88.94,100.64,7.06,304.53
2013,1,13,23,26.99,88.19,100.58,7.06,308.71
2013,1,14,0,27.0,87.5,100.51,7.06,311.5
2013,1,14,1,26.99,86.69,100.45,7.08,313.88
2013,1,14,2,27.0,86.0,100.42,7.03,318.2
2013,1,14,3,27.01,85.56,100.42,6.83,325.26
2013,1,14,4,27.01,85.38,100.46,6.59,330.12
2013,1,14,5,26.98,85.5,100.54,6.54,329.64
2013,1,14,6,27.26,85.19,100.63,6.78,327.04
2013,1,14,7,27.5,84.56,100.67,7.3,324.93
2013,1,14,8,27.62,84.0,100.66,7.67,322.91
2013,1,14,9,27.69,83.44,100.63,7.9,317.97
2013,1,14,10,27.71,83.31,100.61,8.12,311.88
2013,1,14,11,27.69,83.44,100.57,8.02,308.35
2013,1,14,12,27.63,83.69,100.52,7.52,305.66
2013,1,14,13,27.55,84.19,100.47,6.87,301.03
2013,1,14,14,27.45,84.81,100.45,6.16,292.76
2013,1,14,15,27.32,85.56,100.46,5.46,282.48
2013,1,14,16,27.25,86.06,100.5,4.78,272.25
2013,1,14,17,27.18,86.69,100.55,4.4,261.83
2013,1,14,18,27.05,87.94,100.62,4.67,256.06
2013,1,14,19,26.99,89.44,100.67,5.38,257.6
2013,1,14,20,27.08,90.38,100.7,6.32,263.04
2013,1,14,21,27.29,90.31,100.7,7.18,270.25
2013,1,14,22,27.41,89.81,100.68,7.74,278.42
2013,1,14,23,27.41,89.25,100.64,7.93,287.36
2013,1,15,0,27.33,88.75,100.61,8.07,295.22
2013,1,15,1,27.21,88.5,100.59,8.27,302.73
2013,1,15,2,27.12,87.69,100.59,8.45,306.95
2013,1,15,3,27.07,86.75,100.61,8.4,308.69
2013,1,15,4,27.07,86.25,100.67,8.15,310.3
2013,1,15,5,27.08,85.56,100.74,7.93,313.76
2013,1,15,6,27.23,84.56,100.76,7.86,317.34
2013,1,15,7,27.44,83.69,100.79,7.98,318.81
2013,1,15,8,27.52,83.25,100.79,8.08,320.73
2013,1,15,9,27.57,83.0,100.76,8.24,323.72
2013,1,15,10,27.61,82.81,100.7,8.19,326.4
2013,1,15,11,27.67,82.19,100.64,7.83,329.13
2013,1,15,12,27.73,81.56,100.58,7.26,331.23
2013,1,15,13,27.72,81.25,100.52,6.73,331.95
2013,1,15,14,27.6,81.62,100.49,6.36,331.92
2013,1,15,15,27.32,83.12,100.5,6.18,331.04
2013,1,15,16,26.97,85.56,100.56,6.02,329.78
2013,1,15,17,26.68,87.69,100.65,5.59,329.31
2013,1,15,18,26.44,89.06,100.74,5.06,324.1
2013,1,15,19,26.47,89.44,100.81,4.88,309.81
2013,1,15,20,26.62,89.19,100.84,4.78,297.95
2013,1,15,21,26.69,89.06,100.84,4.55,296.3
2013,1,15,22,26.65,89.12,100.79,4.22,304.75
2013,1,15,23,26.53,89.44,100.72,3.84,313.76
2013,1,16,0,26.39,89.69,100.64,3.39,326.38
2013,1,16,1,26.28,89.88,100.61,3.3,347.84
2013,1,16,2,26.08,90.81,100.6,3.89,6.81
2013,1,16,3,25.89,91.69,100.62,4.58,11.92
2013,1,16,4,25.77,91.88,100.66,4.76,9.35
2013,1,16,5,25.74,91.81,100.7,4.71,2.76
2013,1,16,6,25.83,91.56,100.75,4.71,350.74
2013,1,16,7,26.12,91.06,100.82,5.12,335.98
2013,1,16,8,26.45,90.31,100.85,5.95,325.64
2013,1,16,9,26.74,89.12,100.84,6.39,321.7
2013,1,16,10,26.94,87.56,100.8,6.22,323.27
2013,1,16,11,27.1,86.25,100.74,5.93,328.19
2013,1,16,12,27.25,84.94,100.65,5.78,332.12
2013,1,16,13,27.35,84.06,100.57,5.59,332.25
2013,1,16,14,27.46,83.12,100.51,5.21,331.01
2013,1,16,15,27.55,82.31,100.51,4.61,329.14
2013,1,16,16,27.57,82.06,100.55,4.09,326.86
2013,1,16,17,27.49,83.0,100.64,3.65,326.34
2013,1,16,18,27.3,84.06,100.72,3.48,326.17
2013,1,16,19,27.25,84.44,100.79,3.56,327.91
2013,1,16,20,27.21,84.94,100.85,3.73,328.87
2013,1,16,21,27.15,85.5,100.85,3.94,326.56
2013,1,16,22,27.1,85.81,100.81,3.86,321.74
2013,1,16,23,26.99,86.19,100.73,3.66,315.17
2013,1,17,0,26.89,86.31,100.65,3.54,308.82
2013,1,17,1,26.8,86.31,100.58,3.32,301.45
2013,1,17,2,26.73,86.38,100.56,2.98,296.63
2013,1,17,3,26.66,86.56,100.57,2.61,292.34
2013,1,17,4,26.59,86.81,100.61,2.43,295.57
2013,1,17,5,26.58,87.0,100.68,2.47,306.76
2013,1,17,6,26.85,86.81,100.74,2.77,317.05
2013,1,17,7,27.19,85.94,100.8,3.66,326.58
2013,1,17,8,27.35,85.94,100.83,4.48,332.67
2013,1,17,9,27.44,86.0,100.83,5.21,338.36
2013,1,17,10,27.46,86.06,100.78,5.89,343.13
2013,1,17,11,27.53,85.62,100.71,6.48,344.54
2013,1,17,12,27.62,84.88,100.63,6.62,343.77
2013,1,17,13,27.69,83.94,100.54,6.32,341.25
2013,1,17,14,27.72,83.5,100.47,5.75,337.23
2013,1,17,15,27.7,83.31,100.45,5.08,333.79
2013,1,17,16,27.69,83.19,100.48,4.19,332.24
2013,1,17,17,27.63,83.44,100.56,3.31,333.8
2013,1,17,18,27.48,83.94,100.65,2.72,337.71
2013,1,17,19,27.44,83.75,100.72,2.39,341.09
2013,1,17,20,27.37,84.19,100.77,2.06,343.97
2013,1,17,21,27.29,84.62,100.79,1.7,346.16
2013,1,17,22,27.19,85.06,100.77,1.4,349.38
2013,1,17,23,27.05,85.56,100.7,1.2,348.76
2013,1,18,0,26.89,86.25,100.6,0.96,346.87
2013,1,18,1,26.73,87.0,100.51,0.89,355.49
2013,1,18,2,26.56,88.0,100.47,1.16,359.61
2013,1,18,3,26.47,89.06,100.48,1.72,349.56
2013,1,18,4,26.43,90.06,100.52,2.28,336.16
2013,1,18,5,26.46,90.56,100.59,2.81,323.93
2013,1,18,6,26.56,90.75,100.67,3.33,317.75
2013,1,18,7,26.73,90.31,100.77,4.03,316.02
2013,1,18,8,26.75,89.81,100.82,4.83,318.47
2013,1,18,9,26.66,89.44,100.83,5.43,323.84
2013,1,18,10,26.54,89.38,100.81,5.87,331.56
2013,1,18,11,26.41,89.44,100.77,6.11,339.27
2013,1,18,12,26.37,89.25,100.73,6.14,343.22
2013,1,18,13,26.43,89.0,100.68,5.72,342.03
2013,1,18,14,26.52,88.81,100.62,5.13,338.2
2013,1,18,15,26.59,88.62,100.59,4.62,333.35
2013,1,18,16,26.65,88.5,100.6,4.36,329.62
2013,1,18,17,26.65,89.19,100.65,4.13,327.75
2013,1,18,18,26.6,89.75,100.71,4.08,325.3
2013,1,18,19,26.66,89.81,100.76,4.29,321.58
2013,1,18,20,26.73,90.0,100.8,4.42,318.73
2013,1,18,21,26.79,90.19,100.82,4.34,316.46
2013,1,18,22,26.8,90.5,100.82,4.03,311.38
2013,1,18,23,26.8,90.56,100.77,3.79,302.54
2013,1,19,0,26.84,90.12,100.68,3.84,290.35
2013,1,19,1,26.88,89.69,100.6,4.32,278.12
2013,1,19,2,26.93,89.38,100.56,5.05,270.62
2013,1,19,3,27.01,89.06,100.56,5.69,265.67
2013,1,19,4,27.04,89.12,100.57,6.28,263.71
2013,1,19,5,27.05,89.12,100.58,6.83,264.68
2013,1,19,6,27.23,88.56,100.65,6.86,267.91
2013,1,19,7,27.53,87.5,100.76,6.65,273.71
2013,1,19,8,27.73,86.62,100.84,6.55,280.45
2013,1,19,9,27.79,86.25,100.85,6.97,284.33
2013,1,19,10,27.78,86.44,100.81,7.3,284.05
2013,1,19,11,27.73,87.0,100.77,7.47,283.3
2013,1,19,12,27.71,87.19,100.71,7.57,283.19
2013,1,19,13,27.65,87.19,100.64,7.55,282.48
2013,1,19,14,27.59,87.25,100.58,7.38,281.11
2013,1,19,15,27.55,87.12,100.54,7.02,280.13
2013,1,19,16,27.51,87.06,100.56,6.6,278.99
2013,1,19,17,27.44,87.31,100.6,6.04,277.06
2013,1,19,18,27.32,87.56,100.66,5.62,275.58
2013,1,19,19,27.31,87.38,100.73,5.43,275.12
2013,1,19,20,27.32,87.12,100.79,5.4,275.97
2013,1,19,21,27.31,87.0,100.84,5.43,276.44
2013,1,19,22,27.28,86.88,100.84,5.49,279.01
2013,1,19,23,27.22,86.81,100.81,5.61,282.72
2013,1,20,0,27.15,86.69,100.75,5.79,285.97
2013,1,20,1,27.09,86.5,100.69,6.01,289.28
2013,1,20,2,27.07,86.31,100.65,6.13,291.99
2013,1,20,3,27.08,86.0,100.66,6.22,295.02
2013,1,20,4,27.08,85.94,100.68,6.35,297.73
2013,1,20,5,27.09,85.88,100.72,6.43,300.21
2013,1,20,6,27.26,85.69,100.77,6.49,302.41
2013,1,20,7,27.52,85.06,100.83,6.71,304.62
2013,1,20,8,27.71,84.44,100.85,6.94,305.66
2013,1,20,9,27.89,83.75,100.83,7.15,305.03
2013,1,20,10,28.01,83.31,100.78,7.14,303.31
2013,1,20,11,28.08,83.12,100.72,6.94,301.56
2013,1,20,12,28.14,82.88,100.68,6.65,299.43
2013,1,20,13,28.15,82.56,100.62,6.32,296.66
2013,1,20,14,28.08,82.56,100.58,6.03,293.77
2013,1,20,15,27.96,83.06,100.56,5.79,291.2
2013,1,20,16,27.81,84.0,100.59,5.55,288.54
2013,1,20,17,27.62,85.62,100.65,5.28,286.5
2013,1,20,18,27.37,87.31,100.72,5.07,285.56
2013,1,20,19,27.29,88.0,100.79,5.05,283.86
2013,1,20,20,27.21,88.44,100.82,5.06,282.66
2013,1,20,21,27.19,88.44,100.84,5.06,282.3
2013,1,20,22,27.15,88.44,100.84,5.03,283.3
2013,1,20,23,27.11,88.56,100.81,5.01,285.83
2013,1,21,0,27.08,88.44,100.75,5.08,287.71
2013,1,21,1,27.04,88.38,100.68,5.16,288.63
2013,1,21,2,27.01,88.31,100.64,5.16,289.64
